train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,num_blocks
0.7,0.1,13,n_bins,0.0,0.28703704476356506,0.3484848439693451,17,8,1
0.7,0.1,13,n_bins,0.5,0.5925925970077515,0.31060606241226196,21,8,3
0.7,0.1,42,binary,0.0,0.31481480598449707,0.35606059432029724,25,8,1
0.7,0.1,42,binary,0.0,0.35185185074806213,0.4848484992980957,15,8,3
0.7,0.1,42,n_bins,0.0,0.24074074625968933,0.2613636255264282,15,8,1
0.7,0.1,42,n_bins,0.0,0.46296295523643494,0.38257575035095215,19,8,3
0.7,0.1,93,binary,0.0,0.3333333432674408,0.21590909361839294,23,8,1
0.7,0.1,93,binary,0.5,0.48148149251937866,0.3787878751754761,19,8,3
0.7,0.1,93,n_bins,0.5,0.39814814925193787,0.34090909361839294,31,8,1
0.7,0.1,93,n_bins,1.0,0.6574074029922485,0.4166666567325592,31,8,3
0.9,0.1,13,binary,0.0,0.3925233781337738,0.2613636255264282,27,8,1
0.9,0.1,13,binary,0.5,0.4112149477005005,0.36742424964904785,9,8,3
0.9,0.1,13,n_bins,0.0,0.44859811663627625,0.16287878155708313,27,8,1
0.9,0.1,13,n_bins,0.0,0.44859811663627625,0.45075756311416626,19,8,3
0.9,0.1,42,binary,0.0,0.30841121077537537,0.3030303120613098,21,8,1
0.9,0.1,42,binary,0.0,0.5514018535614014,0.2954545319080353,19,8,3
0.9,0.1,42,n_bins,0.5,0.4579439163208008,0.4280303120613098,35,8,1
0.9,0.1,42,n_bins,1.0,0.40186914801597595,0.344696968793869,13,8,3
0.9,0.1,93,binary,0.0,0.30841121077537537,0.2916666567325592,9,8,3
0.9,0.1,93,binary,0.5,0.32710281014442444,0.39772728085517883,29,8,1
0.9,0.1,93,n_bins,0.0,0.672897219657898,0.5189393758773804,25,8,3
0.9,0.1,93,n_bins,0.5,0.37383177876472473,0.36742424964904785,35,8,1
