train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.5,0.1,13,spike_count,0.0,0.0,tensor(0.4242),tensor(0.4167),29,8
0.5,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),7,8
0.5,0.1,42,n_bins,0.0,0.0,tensor(0.5341),tensor(0.5341),7,8
0.5,0.1,42,spike_count,0.0,0.0,tensor(0.3561),tensor(0.3561),7,8
0.5,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),23,8
0.5,0.1,44,n_bins,0.0,0.0,tensor(0.7348),tensor(0.7159),23,8
0.5,0.1,44,spike_count,0.0,0.0,tensor(0.2917),tensor(0.2879),23,8
0.5,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),21,8
0.5,0.1,45,n_bins,0.0,0.0,tensor(0.7689),tensor(0.7538),21,8
0.5,0.1,45,spike_count,0.0,0.0,tensor(0.2879),tensor(0.2917),21,8
0.5,0.1,59,binary,0.0,0.0,tensor(0.0985),tensor(0.0985),29,8
0.5,0.1,59,n_bins,0.0,0.0,tensor(0.7083),tensor(0.6856),29,8
0.5,0.1,59,spike_count,0.0,0.0,tensor(0.3182),tensor(0.3333),29,8
0.5,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.5,0.1,6,n_bins,0.0,0.0,tensor(0.6932),tensor(0.6439),13,8
0.5,0.1,6,spike_count,0.0,0.0,tensor(0.3030),tensor(0.3030),13,8
0.5,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.5,0.1,93,n_bins,0.0,0.0,tensor(0.7992),tensor(0.7348),27,8
0.5,0.1,93,spike_count,0.0,0.0,tensor(0.3788),tensor(0.3712),27,8
0.5,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.5,0.1,96,n_bins,0.0,0.0,tensor(0.7500),tensor(0.7121),27,8
0.5,0.1,96,spike_count,0.0,0.0,tensor(0.3826),tensor(0.3902),27,8
0.5,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),39,8
0.5,0.1,98,n_bins,0.0,0.0,tensor(0.7424),tensor(0.7235),39,8
0.5,0.1,98,spike_count,0.0,0.0,tensor(0.4508),tensor(0.4394),39,8
0.6,0.1,13,binary,0.0,0.0,tensor(0.1174),tensor(0.1136),29,8
0.6,0.1,13,n_bins,0.0,0.0,tensor(0.8258),tensor(0.7992),29,8
0.6,0.1,13,spike_count,0.0,0.0,tensor(0.3030),tensor(0.2992),29,8
0.6,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.6,0.1,42,n_bins,0.0,0.0,tensor(0.7121),tensor(0.6932),17,8
0.6,0.1,42,spike_count,0.0,0.0,tensor(0.3068),tensor(0.3068),17,8
0.6,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.6,0.1,44,n_bins,0.0,0.0,tensor(0.6894),tensor(0.6629),17,8
0.6,0.1,44,spike_count,0.0,0.0,tensor(0.2083),tensor(0.2045),17,8
0.6,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),25,8
0.6,0.1,45,n_bins,0.0,0.0,tensor(0.7689),tensor(0.7727),25,8
0.6,0.1,45,spike_count,0.0,0.0,tensor(0.3371),tensor(0.3447),25,8
0.6,0.1,59,binary,0.0,0.0,tensor(0.1061),tensor(0.1136),31,8
0.6,0.1,59,n_bins,0.0,0.0,tensor(0.7235),tensor(0.7197),31,8
0.6,0.1,59,time_window,0.0,0.0,tensor(0.1856),tensor(0.1894),31,8
0.6,0.1,6,binary,0.0,0.0,tensor(0.1061),tensor(0.1061),19,8
0.6,0.1,6,n_bins,0.0,0.0,tensor(0.7765),tensor(0.7424),19,8
0.6,0.1,6,spike_count,0.0,0.0,tensor(0.3712),tensor(0.3712),19,8
0.6,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),11,8
0.6,0.1,93,n_bins,0.0,0.0,tensor(0.5833),tensor(0.5530),11,8
0.6,0.1,93,spike_count,0.0,0.0,tensor(0.4280),tensor(0.4280),11,8
0.6,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),33,8
0.6,0.1,96,n_bins,0.0,0.0,tensor(0.7992),tensor(0.7841),33,8
0.6,0.1,96,spike_count,0.0,0.0,tensor(0.3523),tensor(0.3485),33,8
0.6,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),9,8
0.6,0.1,98,n_bins,0.0,0.0,tensor(0.6061),tensor(0.5606),9,8
0.6,0.1,98,spike_count,0.0,0.0,tensor(0.3939),tensor(0.4053),9,8
0.7,0.1,13,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),23,8
0.7,0.1,13,n_bins,0.0,0.0,tensor(0.8106),tensor(0.7462),23,8
0.7,0.1,13,spike_count,0.0,0.0,tensor(0.3712),tensor(0.3712),23,8
0.7,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),21,8
0.7,0.1,42,n_bins,0.0,0.0,tensor(0.8144),tensor(0.7576),21,8
0.7,0.1,42,spike_count,0.0,0.0,tensor(0.3826),tensor(0.3788),21,8
0.7,0.1,44,binary,0.0,0.0,tensor(0.1098),tensor(0.1098),33,8
0.7,0.1,44,n_bins,0.0,0.0,tensor(0.8030),tensor(0.7765),33,8
0.7,0.1,44,spike_count,0.0,0.0,tensor(0.4091),tensor(0.4091),33,8
0.7,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.7,0.1,45,n_bins,0.0,0.0,tensor(0.8144),tensor(0.7652),19,8
0.7,0.1,45,spike_count,0.0,0.0,tensor(0.4053),tensor(0.3902),19,8
0.7,0.1,59,binary,0.0,0.0,tensor(0.4015),tensor(0.3826),21,8
0.7,0.1,59,n_bins,0.0,0.0,tensor(0.7462),tensor(0.7311),21,8
0.7,0.1,59,spike_count,0.0,0.0,tensor(0.4811),tensor(0.4773),21,8
0.7,0.1,6,binary,0.0,0.0,tensor(0.3371),tensor(0.3106),23,8
0.7,0.1,6,n_bins,0.0,0.0,tensor(0.7576),tensor(0.7500),23,8
0.7,0.1,6,spike_count,0.0,0.0,tensor(0.3977),tensor(0.3977),23,8
0.7,0.1,93,binary,0.0,0.0,tensor(0.0947),tensor(0.0947),17,8
0.7,0.1,93,n_bins,0.0,0.0,tensor(0.7614),tensor(0.7424),17,8
0.7,0.1,93,spike_count,0.0,0.0,tensor(0.2765),tensor(0.2727),17,8
0.7,0.1,96,binary,0.0,0.0,tensor(0.1364),tensor(0.1402),35,8
0.7,0.1,96,n_bins,0.0,0.0,tensor(0.7917),tensor(0.7311),35,8
0.7,0.1,96,spike_count,0.0,0.0,tensor(0.3295),tensor(0.3295),35,8
0.7,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),23,8
0.7,0.1,98,n_bins,0.0,0.0,tensor(0.8220),tensor(0.7727),23,8
0.7,0.1,98,spike_count,0.0,0.0,tensor(0.3864),tensor(0.3864),23,8
0.8,0.1,13,binary,0.0,0.0,tensor(0.0985),tensor(0.1023),21,8
0.8,0.1,13,n_bins,0.0,0.0,tensor(0.8068),tensor(0.7576),21,8
0.8,0.1,13,spike_count,0.0,0.0,tensor(0.3144),tensor(0.3144),21,8
0.8,0.1,42,binary,0.0,0.0,tensor(0.0947),tensor(0.0947),33,8
0.8,0.1,42,n_bins,0.0,0.0,tensor(0.8030),tensor(0.7803),33,8
0.8,0.1,42,spike_count,0.0,0.0,tensor(0.3826),tensor(0.3826),33,8
0.8,0.1,44,binary,0.0,0.0,tensor(0.3220),tensor(0.3106),23,8
0.8,0.1,44,n_bins,0.0,0.0,tensor(0.7500),tensor(0.7197),23,8
0.8,0.1,44,spike_count,0.0,0.0,tensor(0.4167),tensor(0.4356),23,8
0.8,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.8,0.1,45,n_bins,0.0,0.0,tensor(0.7992),tensor(0.7879),19,8
0.8,0.1,45,spike_count,0.0,0.0,tensor(0.3220),tensor(0.3220),19,8
0.8,0.1,59,binary,0.0,0.0,tensor(0.1136),tensor(0.1098),17,8
0.8,0.1,59,n_bins,0.0,0.0,tensor(0.7955),tensor(0.6856),17,8
0.8,0.1,59,spike_count,0.0,0.0,tensor(0.2235),tensor(0.2235),17,8
0.8,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),31,8
0.8,0.1,6,n_bins,0.0,0.0,tensor(0.8030),tensor(0.7689),31,8
0.8,0.1,6,spike_count,0.0,0.0,tensor(0.3750),tensor(0.3750),31,8
0.8,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),29,8
0.8,0.1,93,n_bins,0.0,0.0,tensor(0.8258),tensor(0.7955),29,8
0.8,0.1,93,spike_count,0.0,0.0,tensor(0.3523),tensor(0.3523),29,8
0.8,0.1,96,binary,0.0,0.0,tensor(0.1023),tensor(0.1061),25,8
0.8,0.1,96,n_bins,0.0,0.0,tensor(0.8409),tensor(0.7917),25,8
0.8,0.1,96,spike_count,0.0,0.0,tensor(0.4394),tensor(0.4280),25,8
0.8,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.8,0.1,98,n_bins,0.0,0.0,tensor(0.8030),tensor(0.7614),27,8
0.8,0.1,98,spike_count,0.0,0.0,tensor(0.2803),tensor(0.2841),27,8
