train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.2,0.1,93,n_bins,0.7564814686775208,0.5794702172279358,0.5946969985961914,11,16
0.2,0.1,93,spike_count,0.8303571343421936,0.7639594078063965,0.7575757503509521,15,16
0.2,0.1,93,timesurface,0.852314829826355,0.7320144176483154,0.7727272510528564,21,16
0.2,0.1,93,time_window,0.8469328880310059,0.7332589030265808,0.6742424368858337,17,16
0.3,0.1,13,binary,0.7888888716697693,0.5959933400154114,0.6704545617103577,11,16
0.3,0.1,13,n_bins,0.7749999761581421,0.5075125098228455,0.5871211886405945,11,16
0.3,0.1,13,spike_count,0.875,0.7597990036010742,0.7424242496490479,19,16
0.3,0.1,13,timesurface,0.7765432000160217,0.6966490149497986,0.7992424368858337,11,16
0.3,0.1,13,time_window,0.8415637612342834,0.7225519418716431,0.7575757503509521,13,16
0.3,0.1,42,binary,0.7875514626502991,0.5566571950912476,0.7310606241226196,13,16
0.3,0.1,42,n_bins,0.6784979701042175,0.4753246605396271,0.6136363744735718,7,16
0.3,0.1,42,spike_count,0.8492063283920288,0.7541613578796387,0.7575757503509521,15,16
0.3,0.1,42,timesurface,0.813051164150238,0.7170294523239136,0.7916666865348816,15,16
0.3,0.1,42,time_window,0.8199588656425476,0.6943620443344116,0.7803030014038086,13,16
0.3,0.1,93,binary,0.7953703999519348,0.6143572330474854,0.6174242496490479,11,16
0.3,0.1,93,n_bins,0.6620370149612427,0.5532467365264893,0.6439393758773804,7,16
0.3,0.1,93,spike_count,0.7384259104728699,0.6847826242446899,0.7234848737716675,9,16
0.3,0.1,93,timesurface,0.6069958806037903,0.5949008464813232,0.6780303120613098,7,16
0.3,0.1,93,time_window,0.7449845671653748,0.678260862827301,0.7462121248245239,9,16
0.4,0.1,13,binary,0.76450115442276,0.6209677457809448,0.6704545617103577,9,16
0.4,0.1,13,n_bins,0.8517014980316162,0.6811797618865967,0.7159090638160706,13,16
0.4,0.1,13,spike_count,0.7877030372619629,0.7150349617004395,0.7272727489471436,11,16
0.4,0.1,13,timesurface,0.7505800724029541,0.7272727489471436,0.8598484992980957,11,16
0.4,0.1,13,time_window,0.7709977030754089,0.7202796936035156,0.8219696879386902,11,16
0.4,0.1,42,binary,0.8664236068725586,0.742682933807373,0.7992424368858337,15,16
0.4,0.1,42,n_bins,0.8771958947181702,0.7060975432395935,0.7462121248245239,15,16
0.4,0.1,42,spike_count,0.7641144394874573,0.6264045238494873,0.7613636255264282,7,16
0.4,0.1,42,timesurface,0.8423931002616882,0.7690355181694031,0.8181818127632141,15,16
0.4,0.1,42,time_window,0.8016241192817688,0.6896551847457886,0.7537878751754761,9,16
0.4,0.1,93,binary,0.8317865133285522,0.6241722106933594,0.7234848737716675,11,16
0.4,0.1,93,n_bins,0.8438515067100525,0.6821191906929016,0.7310606241226196,11,16
0.4,0.1,93,spike_count,0.8482211828231812,0.7529411911964417,0.7992424368858337,13,16
0.4,0.1,93,timesurface,0.8171693682670593,0.75,0.810606062412262,11,16
0.4,0.1,93,time_window,0.8482211828231812,0.7867646813392639,0.8257575631141663,13,16
0.5,0.1,13,binary,0.8280766606330872,0.6558988690376282,0.6704545617103577,13,16
0.5,0.1,13,n_bins,0.8115027546882629,0.6142383813858032,0.7121211886405945,11,16
0.5,0.1,13,spike_count,0.9096707105636597,0.8761160969734192,0.8409090638160706,17,16
0.5,0.1,13,timesurface,0.8294681310653687,0.770588219165802,0.8219696879386902,13,16
0.5,0.1,13,time_window,0.9029949903488159,0.8185279369354248,0.8484848737716675,15,16
0.5,0.1,42,binary,0.8746355772018433,0.7585365772247314,0.7348484992980957,15,16
0.5,0.1,42,n_bins,0.8872250318527222,0.7597560882568359,0.7689393758773804,15,16
0.5,0.1,42,spike_count,0.8504638075828552,0.8006992936134338,0.814393937587738,11,16
0.5,0.1,42,timesurface,0.8371984958648682,0.779411792755127,0.8333333134651184,13,16
0.5,0.1,42,time_window,0.8389610648155212,0.7674825191497803,0.8257575631141663,11,16
0.5,0.1,93,binary,0.8862974047660828,0.7695121765136719,0.7803030014038086,15,16
0.5,0.1,93,n_bins,0.8174861073493958,0.7197580933570862,0.7424242496490479,9,16
0.5,0.1,93,spike_count,0.8664193153381348,0.7823529243469238,0.8030303120613098,13,16
0.5,0.1,93,timesurface,0.8397031426429749,0.7832167744636536,0.814393937587738,11,16
0.5,0.1,93,time_window,0.8114563822746277,0.7586206793785095,0.8371211886405945,9,16
0.6,0.1,13,binary,0.8829763531684875,0.7773677706718445,0.7651515007019043,15,16
0.6,0.1,13,n_bins,0.8444101214408875,0.7195467352867126,0.5984848737716675,13,16
0.6,0.1,13,spike_count,0.8991498947143555,0.8581081032752991,0.7954545617103577,17,16
0.6,0.1,13,timesurface,0.8362957239151001,0.8249258399009705,0.8598484992980957,13,16
0.6,0.1,13,time_window,0.8795723915100098,0.857566773891449,0.8674242496490479,13,16
