train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.4,0.1,13,n_bins,0.0,0.0,tensor(0.6742),tensor(0.6174),17,8
0.4,0.1,13,time_window,0.0,0.0,tensor(0.4394),tensor(0.4015),17,8
0.4,0.1,42,binary,0.0,0.0,tensor(0.3295),tensor(0.2917),19,8
0.4,0.1,42,n_bins,0.0,0.0,tensor(0.6477),tensor(0.5985),19,8
0.4,0.1,42,time_window,0.0,0.0,tensor(0.4356),tensor(0.3902),19,8
0.4,0.1,44,binary,0.0,0.0,tensor(0.1591),tensor(0.1705),19,8
0.4,0.1,44,n_bins,0.0,0.0,tensor(0.6856),tensor(0.6402),19,8
0.4,0.1,44,time_window,0.0,0.0,tensor(0.3750),tensor(0.3409),19,8
0.4,0.1,45,binary,0.0,0.0,tensor(0.1818),tensor(0.1742),19,8
0.4,0.1,45,n_bins,0.0,0.0,tensor(0.6932),tensor(0.6364),19,8
0.4,0.1,45,time_window,0.0,0.0,tensor(0.4432),tensor(0.4053),19,8
0.4,0.1,59,binary,0.0,0.0,tensor(0.2311),tensor(0.2083),17,8
0.4,0.1,59,n_bins,0.0,0.0,tensor(0.7235),tensor(0.6288),17,8
0.4,0.1,59,spike_count,0.0,0.0,tensor(0.5720),tensor(0.5341),17,8
0.4,0.1,6,binary,0.0,0.0,tensor(0.1705),tensor(0.1553),15,8
0.4,0.1,6,n_bins,0.0,0.0,tensor(0.6477),tensor(0.6061),15,8
0.4,0.1,6,time_window,0.0,0.0,tensor(0.4735),tensor(0.4470),15,8
0.4,0.1,93,binary,0.0,0.0,tensor(0.1212),tensor(0.1212),11,8
0.4,0.1,93,n_bins,0.0,0.0,tensor(0.6326),tensor(0.5492),11,8
0.4,0.1,93,time_window,0.0,0.0,tensor(0.5152),tensor(0.4621),11,8
0.4,0.1,96,binary,0.0,0.0,tensor(0.3598),tensor(0.3068),27,8
0.4,0.1,96,n_bins,0.0,0.0,tensor(0.6667),tensor(0.6364),27,8
0.4,0.1,96,time_window,0.0,0.0,tensor(0.4545),tensor(0.4659),27,8
0.4,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0947),19,8
0.4,0.1,98,n_bins,0.0,0.0,tensor(0.6742),tensor(0.6023),19,8
0.4,0.1,98,spike_count,0.0,0.0,tensor(0.5947),tensor(0.5114),19,8
0.5,0.1,13,binary,0.0,0.0,tensor(0.3220),tensor(0.3144),23,8
0.5,0.1,13,n_bins,0.0,0.0,tensor(0.7008),tensor(0.6326),23,8
0.5,0.1,42,binary,0.0,0.0,tensor(0.3030),tensor(0.2500),19,8
0.5,0.1,42,n_bins,0.0,0.0,tensor(0.6856),tensor(0.6212),19,8
0.5,0.1,44,binary,0.0,0.0,tensor(0.4773),tensor(0.3788),17,8
0.5,0.1,44,n_bins,0.0,0.0,tensor(0.6629),tensor(0.6553),17,8
0.5,0.1,45,binary,0.0,0.0,tensor(0.4205),tensor(0.3864),23,8
0.5,0.1,45,n_bins,0.0,0.0,tensor(0.6932),tensor(0.6402),23,8
0.5,0.1,45,spike_count,0.0,0.0,tensor(0.5795),tensor(0.5227),23,8
0.5,0.1,59,binary,0.0,0.0,tensor(0.5417),tensor(0.5038),23,8
