name,train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,target_frames,pooling_mode
time_window_09_6_8_400_max,0.9,0.1,6,time_window,1.0,0.9626168012619019,0.8939393758773804,8,8,400,max
time_window_09_6_8_500_max,0.9,0.1,6,time_window,1.0,0.9626168012619019,0.9090909361839294,10,8,500,max
time_window_09_6_8_600_max,0.9,0.1,6,time_window,1.0,0.9626168012619019,0.9053030014038086,10,8,600,max
time_window_09_6_8_700_max,0.9,0.1,6,time_window,0.9989690780639648,0.9252336621284485,0.875,8,8,700,max
time_window_09_6_8_800_max,0.9,0.1,6,time_window,0.9824742078781128,0.9065420627593994,0.8712121248245239,10,8,800,max
time_window_09_6_8_200_avg,0.9,0.1,6,time_window,1.0,0.9439252614974976,0.9015151262283325,12,8,200,avg
time_window_09_6_8_300_avg,0.9,0.1,6,time_window,1.0,0.9532710313796997,0.8939393758773804,10,8,300,avg
time_window_09_6_8_400_avg,0.9,0.1,6,time_window,1.0,0.9439252614974976,0.8977272510528564,8,8,400,avg
time_window_09_6_8_500_avg,0.9,0.1,6,time_window,1.0,0.9719626307487488,0.8863636255264282,10,8,500,avg
time_window_09_6_8_600_avg,0.9,0.1,6,time_window,1.0,0.9439252614974976,0.9204545617103577,10,8,600,avg
time_window_09_6_8_700_avg,0.9,0.1,6,time_window,0.9989690780639648,0.9626168012619019,0.8939393758773804,8,8,700,avg
time_window_09_6_8_800_avg,0.9,0.1,6,time_window,1.0,0.9626168012619019,0.8787878751754761,10,8,800,avg
time_window_09_6_8_200_linear,0.9,0.1,6,time_window,0.9979381561279297,0.9065420627593994,0.8939393758773804,8,8,200,linear
time_window_09_6_8_300_linear,0.9,0.1,6,time_window,0.9989690780639648,0.9532710313796997,0.8560606241226196,8,8,300,linear
time_window_09_6_8_400_linear,0.9,0.1,6,time_window,1.0,0.9532710313796997,0.8598484992980957,8,8,400,linear
time_window_09_6_8_500_linear,0.9,0.1,6,time_window,1.0,0.9439252614974976,0.8939393758773804,10,8,500,linear
